Location,Year,Average_Rent,Average_Earnings,CPI_Index,Affordability_Ratio,Real_Rent,Rent_YoY_Growth,Income_YoY_Growth
"Abbeyfeale, Limerick",2008,542.6,263.2414696969697,84.23125,2.0612253860480787,644.1789715812124,,
"Abbeyfeale, Limerick",2009,514.83,256.8306666666667,79.36041666666667,2.0045503392637434,648.7239125298612,-5.11795060818282,-2.4353317270576103
"Abbeyfeale, Limerick",2010,477.54,256.01466666666664,79.12083333333334,1.865283759784596,603.5578492811628,-7.2431676475729905,-0.31771906781642434
"Abbeyfeale, Limerick",2011,477.96,251.39683333333335,81.60104166666666,1.9012172653991264,585.7278169958003,0.08795074758134458,-1.8037378066881438
"Abbeyfeale, Limerick",2012,466.74,258.9757575757576,82.85833333333333,1.8022536331937,563.2988031781153,-2.347476776299262,3.0147254211333463
"Abbeyfeale, Limerick",2013,465.9,260.7649393939394,83.11562500000001,1.786666570601202,560.5444223032672,-0.17997171872992102,0.6908684561559575
"Abbeyfeale, Limerick",2014,450.93,261.4159090909091,83.22708333333334,1.724952400824183,541.8068036746852,-3.213135866065675,0.24963850526940057
"Abbeyfeale, Limerick",2015,450.19,266.57742424242423,82.91979166666667,1.688777664798049,542.9222516739319,-0.16410529350453507,1.9744456905720131
"Abbeyfeale, Limerick",2016,491.52,269.88875757575755,82.96875,1.821194793051099,592.4158192090396,9.180568204535856,1.2421657020446064
"Abbeyfeale, Limerick",2017,528.87,273.8105606060606,83.30520833333334,1.9315179035804282,634.8582646643241,7.598876953125,1.4531183386556012
"Abbeyfeale, Limerick",2018,540.08,284.1095454545454,83.72291666666666,1.9009568972275424,645.0802498320353,2.1196135156087648,3.761354136848749
"Abbeyfeale, Limerick",2019,566.22,291.2750909090909,84.56875000000001,1.9439355361036397,669.5380977015741,4.840023700192564,2.5221065498103545
"Abbeyfeale, Limerick",2020,579.44,295.81777272727277,84.11145833333333,1.958773452513994,688.8954388398331,2.3347815336794975,1.5595847224710413
"Abbeyfeale, Limerick",2021,629.8,309.2805,86.49479166666667,2.0363391807760265,728.1363280544348,8.691150075935372,4.551020430114283
"Abbeyfeale, Limerick",2022,717.78,321.86687878787876,93.921875,2.230052382845647,764.2309099983364,13.969514131470318,4.069567524586493
"Abbeyfeale, Limerick",2023,976.03,335.2919090909091,99.559375,2.910985841102909,980.3496657145548,35.97899077711835,4.17098843894339
"Abbeyfeale, Limerick",2024,1063.56,350.1716666666666,101.09583333333335,3.0372531567850056,1052.0314882743269,8.9679620503468,4.4378516666571555
"Annacotty, Limerick",2008,923.45,263.2414696969697,84.23125,3.507995913649278,1096.3270757587002,,
"Annacotty, Limerick",2009,871.35,256.8306666666667,79.36041666666667,3.3927023252674915,1097.9655054734467,-5.641886404244955,-2.4353317270576103
"Annacotty, Limerick",2010,779.18,256.01466666666664,79.12083333333334,3.0434975079552733,984.7975143504133,-10.577838985482302,-0.31771906781642434
"Annacotty, Limerick",2011,753.06,251.39683333333335,81.60104166666666,2.995503125536585,922.855866321151,-3.3522421006699332,-1.8037378066881438
"Annacotty, Limerick",2012,762.23,258.9757575757576,82.85833333333333,2.943248461304439,919.9195413858996,1.2176984569622684,3.0147254211333463
"Annacotty, Limerick",2013,785.45,260.7649393939394,83.11562500000001,3.012099716417073,945.0088355829605,3.046324600186301,0.6908684561559575
"Annacotty, Limerick",2014,823.01,261.4159090909091,83.22708333333334,3.1482781704528655,988.8728128363663,4.781972117894195,0.24963850526940057
"Annacotty, Limerick",2015,865.13,266.57742424242423,82.91979166666667,3.2453235770379973,1043.3335427056768,5.11779929769991,1.9744456905720131
"Annacotty, Limerick",2016,916.78,269.88875757575755,82.96875,3.396881026964084,1104.9702448210924,5.970201010252785,1.2421657020446064
"Annacotty, Limerick",2017,1025.32,273.8105606060606,83.30520833333334,3.7446327772403136,1230.7993947957434,11.839263509238851,1.4531183386556012
"Annacotty, Limerick",2018,1129.62,284.1095454545454,83.72291666666666,3.9760015742967263,1349.2363202030508,10.172433971833183,3.761354136848749
"Annacotty, Limerick",2019,1193.26,291.2750909090909,84.56875000000001,4.096677118100789,1410.9940137462122,5.633752943467729,2.5221065498103545
"Annacotty, Limerick",2020,1222.94,295.81777272727277,84.11145833333333,4.134099140579635,1453.9517257607095,2.4873036890535216,1.5595847224710413
"Annacotty, Limerick",2021,1295.49,309.2805,86.49479166666667,4.188721888382876,1497.7664840127657,5.932425139418118,4.551020430114283
"Annacotty, Limerick",2022,1410.23,321.86687878787876,93.921875,4.381407634456821,1501.492596905673,8.85688040818533,4.069567524586493
"Annacotty, Limerick",2023,1564.8,335.2919090909091,99.559375,4.666978109441136,1571.7254151103298,10.960623444402673,4.17098843894339
"Annacotty, Limerick",2024,1700.65,350.1716666666666,101.09583333333335,4.856617944531968,1682.2157194081524,8.681620654396728,4.4378516666571555
"Arbour Hill, Dublin 7",2008,,263.2414696969697,84.23125,,,,
"Arbour Hill, Dublin 7",2009,1200.19,256.8306666666667,79.36041666666667,4.673079019639399,1512.3282492846454,,-2.4353317270576103
"Arbour Hill, Dublin 7",2010,1085.51,256.01466666666664,79.12083333333334,4.240030519084844,1371.9648217389015,-9.55515376732018,-0.31771906781642434
"Arbour Hill, Dublin 7",2011,1023.0,251.39683333333335,81.60104166666666,4.06926366746863,1253.6604669568658,-5.7585835229523425,-1.8037378066881438
"Arbour Hill, Dublin 7",2012,1060.21,258.9757575757576,82.85833333333333,4.0938580889752165,1279.545408830333,3.637341153470186,3.0147254211333463
"Arbour Hill, Dublin 7",2013,1124.69,260.7649393939394,83.11562500000001,4.313041479479429,1353.1631386998533,6.081813980249207,0.6908684561559575
"Arbour Hill, Dublin 7",2014,1196.56,261.4159090909091,83.22708333333334,4.577227163262999,1437.7050739693107,6.390205301016261,0.24963850526940057
"Arbour Hill, Dublin 7",2015,1203.15,266.57742424242423,82.91979166666667,4.513322924546909,1450.9804906850245,0.5507454703483461,1.9744456905720131
